Category,Language,Business Name,Phone #,Phone # 2,Website,Site Rating,Reviews,Rating,Owner First Name,Owner Last Name,Owners Cel #,Owners Phone #,Personal Email,Business Email,Owner Social Media,Owner Social Media 2,Instagram,Facebook,Linkedin,Business Address,City,County,State,Google Link,Plus Code,Source,LinkedIn
Cabinet store,,Spotlight Kitchen and Bath Design Center,(508) 762-9095,,spotlightkitchens.com,,71,5.0,,,,,,,,,https://www.instagram.com/spotlightdesigncenter/,https://www.facebook.com/spotlightkitchenandbath/,,"86 Shrewsbury St, Worcester, MA 01604",Worcester,WORCESTER,MA,,"7675+CQ Worcester, Massachusetts",Google Maps,
Flooring store,,Anthony's Hardwood Floors Sanding/Installating,(857) 210-3647,,anthonyshardwoodfloorsma.com,,,5.0,,,,,,,,,,https://www.facebook.com/AnthonysHardwoodFloors/,,"1 Malden St, Revere, MA 02151",Revere,SUFFOLK,MA,,"CX8R+GF Revere, Massachusetts",Google Maps,
Tile contractor,,Palm Tile,(857) 990-8658,,palmtile.us,,21,5.0,,,,,,,,,https://www.instagram.com/PalmTiles/,https://www.facebook.com/palmtiles,,"59 Foster Ct, Gardner, MA 01440",Gardner,WORCESTER,MA,,"H2GQ+22 Gardner, Massachusetts",Google Maps,
Flooring store,,"Tempco Floors,",(413) 682-6673,,tempcofloorsinc.com,,14,5.0,,,,,,,,,,http://www.facebook.com/tempcofloors,,"1430 Main St, Palmer, MA 01069",Palmer,HAMPDEN,MA,,"5M49+VW Palmer, Massachusetts",Google Maps,
Tile contractor,,Danny's tile,(781) 534-4133,,,,,,,,,,,,,,,,,"30 Princeton Rd, Malden, MA 02148",Malden,MIDDLESEX,MA,,"CWQW+29 Malden, Massachusetts",Google Maps,
Flooring contractor,Italian,Minuteman Tile & Marble,(781) 933-6495,,minutemantile.com,,,,FRANCES,FAVUZZA,,,,,,,,,,"118 Harrison Ave, Woburn, MA 01801",Woburn,MIDDLESEX,MA,,"FRHM+7W Woburn, Massachusetts",Google Maps,
Painter,,CWC Painting and Services,(857) 888-6608,,cwcpaintandservices.com,,46,5.0,,,,,,,,,https://www.instagram.com/cwcpainting/,https://www.facebook.com/cwcpainting/,,"252 Newbury St #32, Peabody, MA 01960",Peabody,ESSEX,MA,,"H229+H5 Peabody, Massachusetts",Google Maps,
Handyman/Handywoman/Handyperson,,Boss Construction & Handyman Services,(978) 804-5989,,,,,5.0,,,,,,,,,,,,"21 Barker St, Methuen, MA 01844",Methuen,ESSEX,MA,,"PRF4+H7 Methuen, Massachusetts",Google Maps,
Construction company,,Assis Home Improvement,(413) 841-9168,,,,,,,,,,,,,,https://www.instagram.com/assishomeimprovementinc/,https://www.facebook.com/profile.php?id=61565044965668,,"28 Lana Ave, Lee, MA 01238",Lee,BERKSHIRE,MA,,"7QR4+QJ Lee, Massachusetts",Google Maps,
General contractor,,Burr Construction,(508) 866-4038,,burrconstructionma.com,,,,,,,,,,,,,,,"178 Center St, Carver, MA 02330",Carver,PLYMOUTH,MA,,"W698+J4 Carver, Massachusetts",Google Maps,
Countertop contractor,,Stone,(508) 485-0555,,,,4,2.8,,,,,,,,,,https://m.facebook.com/stoneincusa/?locale=hi_IN,,"896 Boston Post Rd E, Marlborough, MA 01752",Marlborough,MIDDLESEX,MA,,"9G24+QQ Marlborough, Massachusetts",Google Maps,
Flooring contractor,American,Minuteman Tile & Marble,(781) 933-6495,,minutemantile.com,,,,FRANK,FAVUZZA JR.,,,,,,,,,,"118 Harrison Ave, Woburn, MA 01801",Woburn,MIDDLESEX,MA,,"FRHM+7W Woburn, Massachusetts",Google Maps,
General contractor,,Yankee Restorations,(978) 846-3934,,yankeerestorations.com,,15,4.5,,,,,,,,,,,,"551 Main St, Townsend, MA 01474",West Townsend,MIDDLESEX,MA,,,Google Maps,
Carpet store,,Chelsea Floor Covering,(617) 884-4842,,chelseafloor.com,,26,4.5,,,,,,,,,,https://www.facebook.com/Chelsea-Floor-Covering-Co-109517726186775/,,"25 Everett Ave, Chelsea, MA 02150",Chelsea,SUFFOLK,MA,,"9XR6+HM Chelsea, Massachusetts",Google Maps,
Flooring store,,Nardone's Floor Design,(781) 592-7926,,,,,5.0,,,,,,,,,,,,"109 Banks Rd, Swampscott, MA 01907",Swampscott,ESSEX,MA,,"F3CQ+R6 Swampscott, Massachusetts",Google Maps,
Hardware store,,Hamshaw Lumber-Barre,(978) 355-3411,,acehardware.com,,51,4.0,,,,,,,,,,,,"99 S Barre Rd, Barre, MA 01005",Barre,WORCESTER,MA,,"CW42+77 Barre, Massachusetts",Google Maps,
Flooring contractor,,"Z&C Floors,",(413) 429-1634,,zcfloors.com,,2,5.0,,,,,,,,,,https://m.facebook.com/ZC-Floorsinc-4134291634-624870024297296/,,"30 Stockbridge Rd, Great Barrington, MA 01230",Great Barrington,BERKSHIRE,MA,,"6M22+MX Great Barrington, Massachusetts",Google Maps,
Kitchen remodeler,,"CORE Remodeling Services,",(888) 959-2673,,coreremodelingservices.com,,59,4.9,,,,,,,,,https://www.instagram.com/core_remodeling/,https://www.facebook.com/CORERemodelingServices,https://www.linkedin.com/company/10785278/,"41 Boylston St, Worcester, MA 01605",Worcester,WORCESTER,MA,,"862M+9X Worcester, Massachusetts",Google Maps,
Tile store,,"Fitzgerald Stone & More,",(978) 504-5524,,peabodytile.com,,51,4.7,,,,,,,,,https://www.instagram.com/fitzgeraldstone/,https://www.facebook.com/profile.php?id=100034489673501,https://www.linkedin.com/in/viviane-fitzgerald-94947a117,"108 Newbury St E, Peabody, MA 01960",Peabody,ESSEX,MA,,"G2M5+58 Peabody, Massachusetts",Google Maps,
Flooring contractor,,"YLV Floors & Walls Decorating,",(413) 404-9226,,ylvfloorswallsdecor.com,,8,4.9,,,,,,,,,,,,"41 Stewart Ln, Agawam, MA 01001",Agawam,HAMPDEN,MA,,"39FJ+4V Agawam, Massachusetts",Google Maps,
Tile store,,Bianchis Tile & Marble,(508) 548-6389,,,,8,3.0,,,,,,,,,,,,"162 Sandwich Rd, Teaticket, MA 02536",East Falmouth,BARNSTABLE,MA,,"HCH4+2H Teaticket, Falmouth, MA",Google Maps,
Flooring store,,Carpet Barn Carpet One Floor & Home,(508) 296-8189,,carpetbarncarpetonefalmouth.com,,58,4.7,,,,,,,,,,https://www.facebook.com/CarpetBarninc/,https://www.linkedin.com/in/john-alferes-59459267,"719 Main St, Falmouth, MA 02540",Falmouth,BARNSTABLE,MA,,"H93W+5H Falmouth, Massachusetts",Google Maps,
Grocery store,,Green Fields Market,(413) 773-9567,,franklincommunity.coop,,693,4.5,,,,,,,,,,,,"144 Main St, Greenfield, MA 01301",Greenfield,FRANKLIN,MA,,"H9QW+5C Greenfield, Massachusetts",Google Maps,
Saw sharpening service,,Rodia,(508) 853-3991,,rodiatools.com,,,,,,,,,,,,,,,"13 McCracken Rd, Millbury, MA 01527",Millbury,WORCESTER,MA,,"663C+52 Millbury, Massachusetts",Google Maps,
Interior designer,,Little Farm,(207) 409-3961,,littlefarm.cc,,14,5.0,,,,,,,,,https://www.instagram.com/littlefarmcc/,https://www.facebook.com/littlefarmcc/,,"16 Little Farm Ln, East Falmouth, MA 02536",East Falmouth,BARNSTABLE,MA,,"JC5M+Q7 East Falmouth, Falmouth, MA",Google Maps,
Flooring store,,"SelecTech,",(508) 583-3200,,selectech.com,,4,5.0,,,,,,,,,,,,"33 Wales Ave Suite F, Avon, MA 02322",Avon,NORFOLK,MA,,"4WRV+74 Avon, Massachusetts",Google Maps,
Contractor,,Khouri Flooring,(781) 910-7847,,khouriflooring.com,,2,5.0,,,,,,,,,,,,"139 Washington St, Marblehead, MA 01945",Marblehead,ESSEX,MA,,"G43X+HP Marblehead, Massachusetts",Google Maps,
Construction company,,JM Tile Services,(781) 724-6655,,linktr.ee,,37,5.0,,,,,,,,,,https://www.facebook.com/p/JM-Tile-Services-100063570176436/?locale=ku_TR,,"Peabody, MA 01961",Peabody,ESSEX,MA,,"G3GC+VR Peabody, Massachusetts",Google Maps,
Tile contractor,,Back Bay Tile,(617) 797-1317,,backbaytileinstall.com,,,,,,,,,,,,,,,"187 Lexington St, Waltham, MA 02452",Waltham,MIDDLESEX,MA,,"9QM7+5J Waltham, Massachusetts",Google Maps,
Tile contractor,,EA Tile & Stone,(508) 887-1624,,,,,,,,,,,,,,,,,"12 Wintergreen Ln, Harwich, MA 02645",Harwich,BARNSTABLE,MA,,"PW42+G7 Harwich, Massachusetts",Google Maps,
Cleaning service,Portuguese,Gladiator Multi Services,(978) 335-1123,,,,3,5.0,MARIA,HELOA SANTINI SILVA,,,,,,,,https://m.facebook.com/p/Gladiator-Multi-Services-100077040935753/,,"13 Keys Dr #2, Peabody, MA 01960",Peabody,ESSEX,MA,,"G3V2+64 Peabody, Massachusetts",Google Maps,
Tile contractor,,Pro Tile Plus,(781) 816-3414,,protileplus.com,,5,5.0,,,,,,,,,https://www.instagram.com/fitzgeraldstone/,https://www.facebook.com/profile.php?id=100034489673501,https://www.linkedin.com/in/viviane-fitzgerald-94947a117,"180 Bartholomew St, Peabody, MA 01960",Peabody,ESSEX,MA,,"G25J+87 Peabody, Massachusetts",Google Maps,
Cleaning service,Italian,Gladiator Multi Services,(978) 335-1123,,,,3,5.0,CESAR,B PONCHIROLLI MA,,,,,,,,https://m.facebook.com/p/Gladiator-Multi-Services-100077040935753/,,"13 Keys Dr #2, Peabody, MA 01960",Peabody,ESSEX,MA,,"G3V2+64 Peabody, Massachusetts",Google Maps,
Pottery store,,Sheffield Pottery,(413) 229-7700,,sheffield-pottery.com,,235,3.9,,,,,,,,,https://www.instagram.com/sheffieldpottery/,https://www.facebook.com/sheffieldpottery/,,"995 N Main St, Sheffield, MA 01257",Sheffield,BERKSHIRE,MA,,"4JJP+H3 Sheffield, Massachusetts",Google Maps,
Tile store,,Once Upon A Tile,(978) 345-8343,,onceuponatile.com,,38,4.7,,,,,,,,,,https://www.facebook.com/onceuponatilemass/,,"12 Westminster St, Fitchburg, MA 01420",Fitchburg,WORCESTER,MA,,"H5G8+F8 Fitchburg, Massachusetts",Google Maps,
Carpet store,,Floormart,(413) 284-0206,,,,19,4.4,,,,,,,,,,,,"4 Springfield St, Three Rivers, MA 01080",Three Rivers,HAMPDEN,MA,,"5JJM+3H Three Rivers, Palmer, MA",Google Maps,
Floor refinishing service,,Naz Tile Service,(413) 406-4058,,,,,,,,,,,,,,,,,"25 Franklin St #2, Everett, MA 02149",Everett,MIDDLESEX,MA,,"CX73+39 Everett, Massachusetts",Google Maps,
Construction company,,Guiel Construction,(413) 268-9200,,guiel.com,,2,5.0,,,,,,,,,,https://www.facebook.com/GuielConstruction/,,"63 Chesterfield Rd, Williamsburg, MA 01096",Williamsburg,HAMPSHIRE,MA,,"96QV+42 Williamsburg, Massachusetts",Google Maps,
Handyman/Handywoman/Handyperson,,Blanchette Handyman Service and Flooring,(978) 888-7295,,blanchettehandyman.com,,15,5.0,,,,,,,,,,,,"1133 Whipple Rd, Tewksbury, MA 01876",Tewksbury,MIDDLESEX,MA,,"HQR4+VX Tewksbury, Massachusetts",Google Maps,
Bathroom remodeler,,Coastal Tub and Tile Refinishing,(508) 444-8220,,coastaltub.com,,19,5.0,,,,,,,,,https://www.instagram.com/coastaltub/,https://www.facebook.com/profile.php?id=100089072641582,,"254 Shore Rd, Bourne, MA 02532",Buzzards Bay,BARNSTABLE,MA,,"P9JP+MG Bourne, Massachusetts",Google Maps,
Bathroom remodeler,,"Alton Barnes, LLC.",(508) 759-4768,,altonbarnes.com,,13,4.8,,,,,,,,,,https://www.facebook.com/altonbarnesco/,,"12 West St, West Wareham, MA 02576",West Wareham,PLYMOUTH,MA,,"Q6QJ+MG West Wareham, Wareham, MA",Google Maps,
Tile store,,A Touch of Tile,(978) 392-8800,,,,10,4.5,,,,,,,,,,https://www.facebook.com/atouchoftilewestford/,,"142 Littleton Rd, Westford, MA 01886",Westford,MIDDLESEX,MA,,"HH9J+PJ Westford, Massachusetts",Google Maps,
Tile store,,Porcelain Plus,(978) 219-0040,,porcelain-plus.com,,,5.0,,,,,,,,,,,,"109 Industrial Ave E, Lowell, MA 01852",Lowell,MIDDLESEX,MA,,"JM8M+4Q Lowell, Massachusetts",Google Maps,
Tile contractor,,BMW Tile Services,(508) 892-9069,,,,,5.0,,,,,,,,,,,,"16 Wasilla Dr, Rochdale, MA 01542",Rochdale,WORCESTER,MA,,"636Q+68 Rochdale, Leicester, MA",Google Maps,
Tile store,,Absolute Tile,(508) 694-6180,,,,8,4.6,,,,,,,,,,,,"63 Whites Path, South Yarmouth, MA 02664",South Yarmouth,BARNSTABLE,MA,,"MQQR+QX South Yarmouth, Yarmouth, MA",Google Maps,
Gift shop,,TAOs Ceramics,(781) 640-0568,,,,,,,,,,,,,,,,,"18 Kenmar Dr, Billerica, MA 01821",Billerica,MIDDLESEX,MA,,"HP2J+VF Billerica, Massachusetts",Google Maps,
Roofing supply store,,Deer Hill Enterprises,(413) 634-0029,,ultimateridgehook.com,,,,,,,,,,,,,,,"224 West St, Cummington, MA 01026",Cummington,HAMPSHIRE,MA,,"G26G+5M Cummington, Massachusetts",Google Maps,
Kitchen remodeler,,Ridgemark Home Remodeling,(508) 202-0097,,ridgemark-homes.com,,29,5.0,,,,,,,,,,https://www.facebook.com/RobHassardJr/,https://www.linkedin.com/in/robert-hassard-jr-40559a48,"516 Boston Turnpike, Shrewsbury, MA 01545",Shrewsbury,WORCESTER,MA,,"77GM+F3 Shrewsbury, Massachusetts",Google Maps,
Marble contractor,,Epic Stone & Tile,(781) 815-0123,,epicstoneandtile.com,,,5.0,,,,,,,,,,https://www.facebook.com/profile.php?id=61562688073314,,"410 South St, Randolph, MA 02368",Randolph,NORFOLK,MA,,"5X2C+M4 Randolph, Massachusetts",Google Maps,
Kitchen remodeler,,Berkshire Home Services,(413) 623-4483,,,,,,,,,,,,,,,,,"77 Sitting Bull Dr, Becket, MA 01223",Becket,BERKSHIRE,MA,,"6XX3+W4 Becket, Massachusetts",Google Maps,
Flooring store,French,Flooring Showcase,(978) 577-6135,,flooring-showcase.com,,6,4.2,HENRY,RICARD,,,,,,,,https://www.facebook.com/FlooringShowcase/,,"303 Littleton Rd, Westford, MA 01886",Westford,MIDDLESEX,MA,,"HH44+CH Westford, Massachusetts",Google Maps,
Flooring contractor,,Dier Wood Floors,(917) 843-2528,,dierwoodfloors.com,,2,5.0,,,,,,,,,,https://www.facebook.com/dierwoodfloors/,,"24e Kennebec Ave, Oak Bluffs, MA 02557",Oak Bluffs,DUKES,MA,,"FC4R+CV Oak Bluffs, Massachusetts",Google Maps,
Flooring store,French,Flooring Showcase,(978) 577-6135,,flooring-showcase.com,,6,4.2,ELAINE,RICARD,,,,,,,,https://www.facebook.com/FlooringShowcase/,,"303 Littleton Rd, Westford, MA 01886",Westford,MIDDLESEX,MA,,"HH44+CH Westford, Massachusetts",Google Maps,
Flooring store,Russian,Mazmanian Flooring,(978) 667-1500,,,,22,4.5,ARLENE,MAZMANIAN,,,,,,,,https://www.facebook.com/MazmanianFlooring/,,"321 Boston Rd, North Billerica, MA 01862",North Billerica,MIDDLESEX,MA,,"HP9F+FP North Billerica, Billerica, MA",Google Maps,
Tile contractor,,Grams Tile,(978) 382-0639,,gramstileinc.com,,24,5.0,,,,,,,,,http://www.instagram.com/gramstile,https://www.facebook.com/GRAMSTILE/,,"40 Kingman St, Lunenburg, MA 01462",Lunenburg,WORCESTER,MA,,"H6CM+3F Lunenburg, Massachusetts",Google Maps,
Flooring store,Russian,Mazmanian Flooring,(978) 667-1500,,,,22,4.5,JASON,MAZMANIAN,,,,,,,,https://www.facebook.com/MazmanianFlooring/,,"321 Boston Rd, North Billerica, MA 01862",North Billerica,MIDDLESEX,MA,,"HP9F+FP North Billerica, Billerica, MA",Google Maps,
Construction company,,Berg Building & Remodeling,(617) 462-6233,,,,2,3.0,,,,,,,,,,,,"113 W Shore Dr, Marblehead, MA 01945",Marblehead,ESSEX,MA,,,Google Maps,
Kitchen remodeler,,Schotanus Design Center,(508) 372-9283,,schotanusdesigncenter.com,,12,4.5,,,,,,,,,https://www.instagram.com/schotanusdesigncenter/,https://www.facebook.com/schotanusdesigncenter/,,"83 Church St #1, Whitinsville, MA 01588",Whitinsville,WORCESTER,MA,,"486Q+PF Whitinsville, Northbridge, MA",Google Maps,
Interior designer,,E. Caligari & Son,(413) 528-0030,,ecaligari.com,,14,4.4,,,,,,,,,,https://www.facebook.com/caligari1898/,https://www.linkedin.com/in/kaitlyn-caligari-47235a59,"75 Main St, Great Barrington, MA 01230",Great Barrington,BERKSHIRE,MA,,"6J2R+4H Great Barrington, Massachusetts",Google Maps,
Carpet store,,Brousseau's Carpet Services,(413) 283-3333,,,,,,,,,,,,,,,,,"290 Wilbraham St, Palmer, MA 01069",Palmer,HAMPDEN,MA,,"5J4P+76 Palmer, Massachusetts",Google Maps,
Flooring store,,Artisan Floor Covering,(978) 373-1001,,,,2,4.5,,,,,,,,,,,,"939 Salem St #2, Groveland, MA 01834",Groveland,ESSEX,MA,,"PXMP+PR Groveland, Massachusetts",Google Maps,
Flooring store,,Carpet Carousel,(978) 321-3734,,carpetcarousel.com,,55,4.8,,,,,,,,,,https://www.facebook.com/CarpetCarousel/,,"39 Union Ave, Sudbury, MA 01776",Sudbury,MIDDLESEX,MA,,"9H7H+F5 Sudbury, Massachusetts",Google Maps,
Flooring contractor,,"ARC Marble & Tile,",(617) 203-3197,,,,,1.0,,,,,,,,,,,,"25 Garvey St, Everett, MA 02149",Everett,MIDDLESEX,MA,,"CW2W+X6 Everett, Massachusetts",Google Maps,
Carpet store,,Carpet Trades,(781) 662-0062,,carpettrades.com,,2,5.0,,,,,,,,,,https://www.facebook.com/CarpetTrades/,,"177 W Foster St, Melrose, MA 02176",Melrose,MIDDLESEX,MA,,"FW4J+7C Melrose, Massachusetts",Google Maps,
Hardware store,,Hamshaw Lumber-Deerfield,(413) 665-8881,,acehardware.com,,5,4.4,,,,,,,,,https://www.instagram.com/hamshawlumberinc/,https://www.facebook.com/HamshawDeerfield/,,"16 Elm St, South Deerfield, MA 01373",South Deerfield,FRANKLIN,MA,,"F9HQ+6W South Deerfield, Deerfield, MA",Google Maps,
Flooring store,,Earth First Flooring & Tile,(413) 586-0060,,earth1stflooring.com,,24,4.0,,,,,,,,,,,,"289 Amherst Rd, Sunderland, MA 01375",Sunderland,FRANKLIN,MA,,"FC2P+FP Sunderland, Massachusetts",Google Maps,
Kitchen remodeler,,Thomas Michaels Design Remodel,(508) 295-1311,,tmkitchens.com,,48,4.8,,,,,,,,,,https://www.facebook.com/thomasmichaelsdesignremodel/,,"3127 Cranberry Hwy, East Wareham, MA 02538",East Wareham,PLYMOUTH,MA,,"Q936+P6 East Wareham, Wareham, MA",Google Maps,
Flooring store,American,A-1 Flooring Solutions,(978) 957-2147,,,,,,KATHLEEN,M BOVILL,,,,,,,,,,"12 O St, Dracut, MA 01826",Dracut,MIDDLESEX,MA,,"MJRV+GQ Dracut, Massachusetts",Google Maps,
Tile contractor,,New Bedford Tile Contractors,(508) 905-6207,,,,,,,,,,,,,,,https://m.facebook.com/New-bedford-Tile-Contractor-108467074339571/,,"1565 Acushnet Ave, New Bedford, MA 02746",New Bedford,BRISTOL,MA,,"M37C+8G New Bedford, Massachusetts",Google Maps,
Kitchen remodeler,,Halyard Services,(978) 594-3824,,halyard.services,,13,5.0,,,,,,,,,,,,"2 Lee St, Salem, MA 01970",Salem,ESSEX,MA,,"G4J2+G8 Salem, Massachusetts",Google Maps,
Flooring store,,Home Flooring & Kitchen Designs,(978) 486-0096,,flooringandkitchendesigns.com,,12,3.9,,,,,,,,,,https://www.facebook.com/FlooringKitchenDesignsOfLittleton/,https://www.linkedin.com/in/brian-carpenter-0169b5b,"244 Great Rd Rt 119, Littleton, MA 01460",Littleton,MIDDLESEX,MA,,"GGVJ+8W Littleton, Massachusetts",Google Maps,
Flooring store,American,A-1 Flooring Solutions,(978) 957-2147,,,,,,SCOTT,J. BOVILL,,,,,,,,https://www.facebook.com/A1Flooringprofessionals/,,"12 O St, Dracut, MA 01826",Dracut,MIDDLESEX,MA,,"MJRV+GQ Dracut, Massachusetts",Google Maps,
Flooring contractor,,PHILLIPS FLOOR,(978) 512-9265,,phillipsfloorcompany.com,,7,4.4,,,,,,,,,https://www.instagram.com/phillipsfloorcompany/,,,"325 Ayer Rd, Harvard, MA 01451",Harvard,WORCESTER,MA,,"GCVF+2J Harvard, Massachusetts",Google Maps,
General contractor,,J.E.P. Contracting,(508) 865-4063,,jepcontracting.com,,14,4.6,,,,,,,,,,https://m.facebook.com/J.E.P.Contracting/about/?ref=page_internal,,"Felters Mill, 22 West St #23, Millbury, MA 01527",Millbury,WORCESTER,MA,,"56VP+H7 Millbury, Massachusetts",Google Maps,
Tile contractor,,All Angles Custom Tile and Bath,(617) 817-7167,,,,,,,,,,,,,,,https://www.facebook.com/AllAnglesCustomTile/,,"Pine St, Holbrook, MA 02343",Holbrook,NORFOLK,MA,,"5273+23 Holbrook, Massachusetts",Google Maps,
Construction company,,Babcock Restorations,(413) 243-4479,,babcockbrothersrestoration.com,,,5.0,,,,,,,,,,,,"1100 Cape St, Lee, MA 01238",Lee,BERKSHIRE,MA,,"7QXW+FH Lee, Massachusetts",Google Maps,
Kitchen remodeler,,Cassa Kitchen & Bath,(508) 845-3100,,cassakitchenandbath.com,,5,2.6,,,,,,,,,,,,"101 Hartford Turnpike #20, Shrewsbury, MA 01545",Shrewsbury,WORCESTER,MA,,"67W8+GH Shrewsbury, Massachusetts",Google Maps,
Flooring store,,Tiles By Perfection,(978) 874-9642,,tilesbyperfection.net,,42,4.5,,,,,,,,,,https://www.facebook.com/Tiles-by-Perfection-600505180022493/,https://www.linkedin.com/in/james-martin-a9848530,"190 Willard St, Quincy, MA 02169",Quincy,NORFOLK,MA,,"6XX8+M5 Quincy, Massachusetts",Google Maps,
Flooring store,,Karpet Kare,(508) 693-9462,,karpetkaremvi.com,,13,4.2,,,,,,,,,,,,"455 State Rd, Vineyard Haven, MA 02568",Vineyard Haven,DUKES,MA,,"C9WM+C2 Vineyard Haven, Tisbury, MA",Google Maps,
Supermarket,,Foster's Supermarket,(413) 773-1100,,fosterssupermarket.com,,593,4.5,,,,,,,,,,,https://www.linkedin.com/company/fosters-super-market-inc,"70 Allen St, Greenfield, MA 01301",Greenfield,FRANKLIN,MA,,"H9WR+74 Greenfield, Massachusetts",Google Maps,
Flooring store,,Hanson Floors,(978) 697-2898,,,,2,5.0,,,,,,,,,,,,"180 Lunenburg Rd, West Townsend, MA 01474",West Townsend,MIDDLESEX,MA,,"J7V5+57 West Townsend, Townsend, MA",Google Maps,
